Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
190,0.323074,21.612,0.440625,31.71,68.00,815.00
191,0.180435,16.221,0,31.76,68.00,815.00
192,0.444409,13.684,0.569531,31.68,68.00,815.00
193,0.465248,19.451,0.523047,31.78,68.00,815.00
194,0.407683,19.677,0,31.73,68.00,815.00
195,0.329401,28.938,0.165234,31.96,68.00,815.00
196,0.497044,23.830,0.0269531,31.93,68.00,815.00
197,0.748454,35.824,1.05078,31.82,68.00,815.00
198,0.183434,18.360,0.117188,31.74,68.00,815.00
199,0.341928,15.545,0.477344,31.73,68.00,770.00
200,0.291879,13.258,0.0183594,31.73,68.00,770.00
201,0.35718,18.356,0.0191406,31.77,68.00,770.00
202,0.260506,15.552,0.0382813,31.71,68.00,770.00
203,0.698844,28.328,0.351172,31.83,68.00,770.00
204,0.306041,30.551,0,31.77,68.00,770.00
205,0.214429,23.242,0.323828,32.04,68.00,770.00
206,0.230476,27.126,0.241406,31.96,68.00,770.00
207,0.475636,36.610,0.319141,32.06,68.00,770.00
208,0.270853,19.147,0.128125,31.92,68.00,769.00
209,0.0946531,16.032,0.111328,31.97,68.00,769.00
210,0.400129,37.880,0.248047,31.88,68.00,769.00
211,0.133127,42.743,0.346875,31.93,68.00,769.00
212,0.360907,29.362,0.316797,31.78,68.00,769.00
213,0.320164,35.131,0.759766,31.75,68.00,769.00
214,0.270116,23.141,0.214844,31.75,68.00,769.00
215,0.280169,18.797,0,32.00,68.00,765.00
216,0.102193,16.955,0.451172,32.09,68.00,765.00
217,0.525686,21.952,0.2,32.10,68.00,765.00
218,0.532025,25.969,0.228516,32.14,68.00,765.00
219,0.171984,32.016,0.20625,32.05,68.00,765.00
220,0.251267,33.832,0.349609,31.97,68.00,765.00
221,0.193353,22.576,0.0960938,32.11,68.00,765.00
222,0.0693874,31.250,0,32.11,68.00,769.00
223,0.179297,12.158,0.0324219,32.03,68.00,769.00
224,0.173701,37.010,0.0273438,32.05,68.00,769.00
225,0.566074,39.644,0.311719,32.11,68.00,769.00
226,0.168639,22.163,0.0839844,32.13,68.00,769.00
227,0.351235,35.387,0.264844,31.94,68.00,769.00
228,0.220876,23.087,0.252734,32.02,68.00,769.00
229,0.353152,32.820,0.334375,31.81,68.00,785.00
230,0.285146,27.570,0.158594,31.83,68.00,785.00
