Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
193,0.077981,14.735,0,21.17,108.00,910.00
194,0.088645,17.632,0.487891,21.24,108.00,910.00
195,0.0685482,9.944,0.472266,21.21,108.00,910.00
196,0.0766497,11.844,0,21.21,108.00,910.00
197,0.194492,15.403,0.0582031,21.22,108.00,910.00
198,0.100933,11.524,0.486719,21.22,108.00,910.00
199,0.220927,17.850,0.454688,21.23,108.00,913.00
200,0.0926018,22.971,0.0386719,21.27,108.00,913.00
201,0.137736,17.548,0.474219,21.43,108.00,913.00
202,0.0778732,10.852,0.0105469,21.34,108.00,913.00
203,0.046998,9.040,0.000390625,21.33,108.00,913.00
204,0.133574,19.395,0.183984,21.38,108.00,913.00
205,0.182702,13.681,0.592578,21.40,108.00,913.00
206,0.0718756,10.655,0.0125,21.41,108.00,913.00
207,0.135994,16.290,0.0203125,21.43,108.00,913.00
208,0.177915,14.164,0.0546875,21.40,108.00,910.00
209,0.0759459,15.881,0.375,21.41,108.00,910.00
210,0.0627298,10.558,0.430469,21.54,108.00,910.00
211,0.151779,14.088,0.0351562,21.41,108.00,910.00
212,0.058526,12.937,0,21.41,108.00,910.00
213,0.0878611,10.171,0.0128906,21.38,108.00,910.00
214,0.18224,11.505,0.05625,21.43,108.00,910.00
215,0.0895138,15.548,0.235547,21.46,108.00,910.00
216,0.0652599,14.205,0,21.55,108.00,910.00
217,0.115905,21.654,0.583984,21.45,108.00,910.00
218,0.0627022,16.089,0,21.46,108.00,910.00
219,0.0667582,12.960,0,21.44,108.00,910.00
220,0.190946,12.837,0.560156,21.48,108.00,910.00
221,0.0882511,12.017,0.0136719,21.49,108.00,910.00
222,0.172676,17.937,0.585547,21.56,108.00,910.00
223,0.136733,13.473,0.0335937,21.46,108.00,910.00
224,0.0612183,11.152,0.465234,21.45,108.00,910.00
225,0.125001,20.568,0.0136719,21.47,108.00,910.00
226,0.208745,14.875,0.0515625,21.48,108.00,910.00
227,0.148273,18.702,0.238672,21.47,108.00,910.00
228,0.199322,18.451,0.533984,21.43,108.00,910.00
229,0.117679,10.787,0.0132813,21.44,108.00,910.00
230,0.0630579,18.730,0.589063,21.45,108.00,910.00
231,0.181189,12.162,0.0480469,21.45,108.00,910.00
232,0.0938473,15.307,0.477734,21.47,108.00,910.00
233,0.0695791,24.299,0.0277344,21.45,108.00,915.00
234,0.125362,18.401,0.525781,21.50,108.00,915.00
235,0.106191,22.604,0.549219,21.62,108.00,915.00
236,0.0514011,10.327,0.0246094,21.61,108.00,915.00
237,0.192212,14.700,0.0449219,21.66,108.00,915.00
238,0.0624113,13.485,1.77227,21.78,108.00,915.00
239,0.0640001,34.748,0,21.74,108.00,915.00
240,0.106712,25.825,0.610547,21.92,108.00,915.00
241,0.0939627,24.771,0.417969,21.79,108.00,915.00
242,0.0568647,11.016,0,21.83,108.00,915.00
243,0.307086,15.262,0.621484,21.76,108.00,915.00
244,0.102617,31.444,0.615234,21.80,108.00,915.00
245,0.0928488,19.810,0,21.82,108.00,915.00
246,0.0953121,11.768,0.5125,21.82,108.00,915.00
247,0.0607815,13.473,0.125391,21.88,108.00,915.00
248,0.23983,13.750,0.0542969,21.90,108.00,915.00
249,0.115568,20.228,0.0152344,21.89,108.00,915.00
250,0.0683107,11.990,0.495703,21.88,108.00,925.00
251,0.0891647,10.971,0.0160156,21.99,108.00,925.00
252,0.069684,15.562,0,21.90,108.00,925.00
253,0.0634289,13.639,0.4875,21.90,108.00,925.00
254,0.223931,15.573,0.05625,21.90,108.00,925.00
255,0.108603,12.454,0.0140625,21.91,108.00,925.00
256,0.20219,15.842,0.552734,21.62,108.00,925.00
257,0.154984,17.747,0.0511719,21.63,108.00,925.00
258,0.081852,25.165,0.654297,21.62,108.00,920.00
259,0.0820484,20.198,0.101172,21.39,108.00,920.00
260,0.144499,15.053,0.570703,21.35,108.00,920.00
261,0.221681,16.761,0.0535156,21.36,108.00,920.00
262,0.202672,12.009,0.514062,21.42,108.00,920.00
263,0.0573759,10.828,0,21.69,108.00,920.00
264,0.0915928,22.306,0.555469,21.56,108.00,920.00
265,0.240785,37.359,0.0539063,21.68,108.00,920.00
