Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
315,0.0879202,45.619,0.100391,27.92,68.00,591.00
316,0.116289,49.478,0.175,27.39,68.00,591.00
317,0.141304,17.551,0.05,27.74,68.00,586.00
318,0.366868,49.638,0.250781,27.67,68.00,586.00
319,0.263885,54.993,0.460938,27.66,68.00,586.00
320,0.452407,48.144,0.0214844,27.50,68.00,586.00
321,0.475671,25.514,0.655859,27.68,68.00,586.00
322,0.0472794,34.870,0.116016,27.52,68.00,586.00
323,0.594954,55.599,0.276562,27.81,68.00,586.00
324,0.752638,50.678,0.249609,27.33,68.00,601.00
325,0.208825,42.767,0.121094,27.67,68.00,601.00
326,0.420049,38.458,0.6625,27.66,68.00,601.00
327,0.0237408,18.893,0,27.76,68.00,601.00
328,0.5664,61.479,0.000390625,28.20,68.00,601.00
329,0.113759,52.228,0,28.16,68.00,601.00
330,0.385287,51.278,0,28.24,68.00,601.00
331,0.263002,28.333,0.00234375,28.55,68.00,587.00
332,0.0195389,17.487,0,28.29,68.00,587.00
333,0.266297,46.189,0.0472656,28.22,68.00,587.00
334,0.037941,36.392,1.85039,28.35,68.00,587.00
335,0.203178,32.274,0,28.46,68.00,587.00
336,0.373521,32.748,0.0527344,27.75,68.00,587.00
337,0.219804,44.232,0,27.70,68.00,587.00
338,0.412317,51.309,0,27.88,68.00,595.00
339,0.200832,35.157,0,27.76,68.00,595.00
340,0.152117,38.330,0.0496094,27.88,68.00,595.00
341,0.480792,35.532,0.0300781,27.72,68.00,595.00
342,0.0752306,15.000,0.05625,27.95,68.00,595.00
343,0.209903,53.446,0.0238281,27.86,68.00,595.00
344,0.273442,55.592,1.98672,27.61,68.00,595.00
345,0.390082,53.441,0.234766,27.62,68.00,595.00
346,0.0924511,32.495,0.0808594,27.43,68.00,595.00
347,0.308188,47.054,0.145313,27.30,68.00,607.00
348,0.109278,48.632,0.219141,27.52,68.00,607.00
349,0.31259,32.007,0.0335937,27.91,68.00,607.00
350,0.271847,41.202,0.138672,27.72,68.00,607.00
351,0.261812,36.645,0.199609,27.50,68.00,607.00
352,0.0939388,37.797,0.150781,27.68,68.00,607.00
353,0.31885,49.900,0.133203,27.41,68.00,603.00
354,0.122741,48.529,0.185547,27.46,68.00,603.00
355,0.105334,40.749,0.198438,27.53,68.00,603.00
356,0.243709,51.483,0.119141,27.57,68.00,603.00
357,0.44281,56.338,0.796875,27.58,68.00,603.00
358,0.342022,24.673,0.135938,27.57,68.00,603.00
359,0.0293121,24.127,0.0550781,27.82,68.00,603.00
360,0.032053,31.707,0.0816406,27.67,68.00,603.00
361,0.199028,44.860,0.1625,27.69,68.00,588.00
362,0.0212479,21.000,0,27.53,68.00,588.00
363,0.513712,52.960,0,27.53,68.00,588.00
364,0.38962,57.709,0,27.51,68.00,588.00
365,0.260957,47.082,0.00820313,27.56,68.00,588.00
366,0.268577,53.939,0.0425781,27.49,68.00,588.00
367,0.231788,55.876,0.00273438,27.57,68.00,588.00
368,0.0252466,32.851,0,27.65,68.00,588.00
369,0.302674,31.001,0,27.53,68.00,588.00
370,0.2757,37.362,0,27.74,68.00,586.00
371,0.134716,42.032,0.0195312,27.47,68.00,586.00
372,0.306449,33.804,0.0242188,27.68,68.00,586.00
373,0.591471,31.504,0.567578,27.50,68.00,586.00
374,0.0425911,53.744,0,27.03,68.00,586.00
375,0.195389,51.797,0.157813,27.54,68.00,586.00
376,0.0802822,30.174,0.0519531,27.76,68.00,586.00
377,0.383892,33.501,0,27.79,68.00,586.00
378,0.104758,57.925,0.825781,27.34,68.00,586.00
379,0.320045,52.147,0.182422,27.57,68.00,586.00
380,0.145731,33.949,0.205859,27.49,68.00,586.00
381,0.435384,51.443,0.207422,27.48,68.00,586.00
382,0.0382462,40.125,0.124609,27.54,68.00,586.00
383,0.213578,51.767,0.157422,27.48,68.00,586.00
384,0.501402,56.382,0.14375,27.54,68.00,588.00
385,0.262688,41.437,0.133594,27.52,68.00,588.00
386,0.443197,54.491,0.0527344,27.48,68.00,588.00
387,0.177199,55.548,0.472266,27.51,68.00,588.00
388,0.413781,55.114,0.298047,27.56,68.00,588.00
389,0.11336,47.070,0.174609,27.39,68.00,588.00
390,0.0812635,25.902,0.0597656,27.44,68.00,588.00
391,0.268106,51.227,0.105078,27.30,68.00,591.00
392,0.837249,47.098,0.248047,27.46,68.00,591.00
393,0.137419,38.172,0.0886719,27.65,68.00,591.00
394,0.328862,54.256,1.24531,27.57,68.00,591.00
395,0.16833,34.422,0.0539063,27.57,68.00,591.00
396,0.322452,31.348,0,27.72,68.00,591.00
397,0.233174,53.998,0,27.40,68.00,590.00
398,0.0422821,45.046,0,27.28,68.00,590.00
399,0.574251,46.738,0.494531,27.31,68.00,590.00
400,0.189861,35.732,0,27.66,68.00,590.00
401,0.3464,50.367,0.025,27.42,68.00,590.00
402,0.102452,44.186,0,27.48,68.00,590.00
403,0.112415,56.282,0,27.38,68.00,590.00
404,0.175253,36.878,0.0132813,27.51,68.00,590.00
405,0.249672,48.387,0.084375,27.35,68.00,590.00
406,0.486331,54.239,3.42305,27.69,68.00,590.00
407,0.156551,51.460,0.275781,27.27,68.00,590.00
408,0.10174,29.615,0.0511719,27.56,68.00,590.00
409,0.464728,50.269,0.26875,27.39,68.00,590.00
410,0.146899,40.249,0.0527344,27.57,68.00,590.00
411,0.166724,56.156,0.197266,27.56,68.00,591.00
412,0.276728,55.218,0.126562,27.57,68.00,591.00
413,0.193761,30.410,0.04375,27.68,68.00,591.00
414,0.527102,40.735,0.14375,27.51,68.00,591.00
415,0.349596,53.022,0.128125,27.43,68.00,591.00
416,0.0458097,34.872,0.117188,27.40,68.00,591.00
417,0.164695,46.272,0.123047,27.36,68.00,591.00
418,0.0926752,34.253,0.100391,27.50,68.00,591.00
419,0.111815,37.272,0.0757813,27.43,68.00,595.00
420,0.318321,59.847,0.237891,26.95,68.00,595.00
421,0.0325327,30.911,0.177734,27.61,68.00,595.00
422,0.426091,31.253,0.0980469,27.70,68.00,595.00
423,0.106364,27.896,0.123047,27.87,68.00,595.00
424,0.217522,27.011,0.39375,26.94,68.00,595.00
425,0.240859,26.889,0.15,27.67,68.00,595.00
426,0.490969,50.943,0.186328,27.37,68.00,595.00
427,0.0431271,28.480,0.0363281,27.67,68.00,600.00
428,0.229058,51.744,0.198438,27.38,68.00,600.00
429,0.546009,40.009,0.655469,27.58,68.00,600.00
