Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/cd0b75dd-3bbd-45b7-97f4-6efb11ef9fd3,1,0,4859,4859.0,4859,4859,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/d3c91694-d5b8-424c-9974-e14c89226e49,3,0,9800,6977.0,150,10934,82.66666666666667,0.0016739244024820538,0.0,9800,9800,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/e1e90cc4-a1dd-4a62-b1d7-7634e35ab197,1,0,4981,4981.0,4981,4981,60.0,0.0005579748008273513,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/e2602d50-4e8f-47e0-80d2-50904e766c79,2,0,3813,4385.0,3813,4957,94.0,0.0011159496016547026,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/e27be2fe-6a12-431d-8dd8-1dbcd0baa7de,5,0,480,3508.4,74,10580,73.6,0.0027898740041367564,0.0,480,6300,6300,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/ec6fb1bb-58e4-4db2-93b0-508b39e32e91,1,0,451,451.0,451,451,60.0,0.0005579748008273513,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f05b39ab-dff9-48f5-a639-238df4085273,1,0,4939,4939.0,4939,4939,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f33ee72d-c9d3-4ce5-a69b-dd1025c142a4,5,0,4900,4924.4,95,10793,60.0,0.0027898740041367564,0.0,4900,8800,8800,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f4e23e99-c71e-4dfd-aaef-8cfcac7c8984,1,0,5019,5019.0,5019,5019,60.0,0.0005579748008273513,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f6dd7331-aa8c-4d7c-8794-d1b3f8d5b864,1,0,4870,4870.0,4870,4870,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/fa1d4828-45e9-4e27-ba2d-8522a57b61fa,2,0,4814,5423.0,4814,6032,60.0,0.0011159496016547026,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/orders/payForTheOrder,4,0,17000,15950.25,11551,18405,67.0,0.002231899203309405,0.0,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/orders/queryOrdersForRefresh,806,0,340,1738.2096774193549,81,14556,21813.51240694789,0.4497276894668451,0.0,340,440,600,5200,6100,6900,12000,12000,15000,15000,15000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/10bc6e4f-5273-498b-8dcd-dbe9ab78b26c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,19743,19743.0,19743,19743,54.0,0.0005579748008273513,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/204a4f13-d3a7-4945-8a79-8ee245ffcfd1/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,17319,17319.0,17319,17319,54.0,0.0005579748008273513,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/30f77a81-acfd-4523-816b-f1781ca545be/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,21728,21728.0,21728,21728,54.0,0.0005579748008273513,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/40716bc2-861a-4d27-957c-15534cb822db/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,16664,16664.0,16664,16664,54.0,0.0005579748008273513,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/41bc8c77-ccaf-4e42-9bc4-dde5575ecec6/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,15956,15956.0,15956,15956,54.0,0.0005579748008273513,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/4f611d79-73d9-4e99-bd27-83c5248294e1/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,16945,16945.0,16945,16945,54.0,0.0005579748008273513,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/522ce22d-687d-4274-9275-6153f3e6bcfd/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,16845,16845.0,16845,16845,54.0,0.0005579748008273513,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/57df2705-8bdd-4916-bcea-fd2c9c53bd2f/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,22088,22088.0,22088,22088,54.0,0.0005579748008273513,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/5b4102f3-0a27-4a4e-ad91-c14ea5d13c9f/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,25181,25181.0,25181,25181,54.0,0.0005579748008273513,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,14936,14936.0,14936,14936,54.0,0.0005579748008273513,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,17486,17486.0,17486,17486,54.0,0.0005579748008273513,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/e2602d50-4e8f-47e0-80d2-50904e766c79/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,23072,23072.0,23072,23072,54.0,0.0005579748008273513,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/e27be2fe-6a12-431d-8dd8-1dbcd0baa7de/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,18620,18620.0,18620,18620,54.0,0.0005579748008273513,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/f7c5efa3-c1c7-4d4f-8802-0203e3d1d5ef/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,22618,22618.0,22618,22618,54.0,0.0005579748008273513,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/tickets/getLeftTripTickets,1102,0,1300,2274.4337568058077,933,57698,424.0,0.6148882305117411,0.0,1300,1500,1700,1900,6300,7100,7600,11000,30000,58000,58000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/tickets/preserveTickets,87,0,30000,29541.137931034482,12009,45204,88.0,0.04854380767197956,0.0,30000,33000,35000,36000,39000,41000,44000,45000,45000,45000,45000
,Aggregated,2243,0,1200,3490.866696388765,34,57698,8087.414177440927,1.251537478255749,0.0,1200,1600,4900,5700,7100,13000,30000,35000,44000,58000,58000
